"bfi1","bfi2","bfi3","bfi4","bfi5","bfi6","bfi7","bfi8","bfi9","bfi10","bfi11","bfi12","bfi13","bfi14","bfi15","bfi16","bfi17","bfi18","bfi19","bfi20","bfi21","bfi22","bfi23","bfi24","bfi25","bfi26","bfi27","bfi28","bfi29","bfi30","bfi31","bfi32","bfi33","bfi34","bfi35","bfi36","bfi37","bfi38","bfi39","bfi40","bfi41","bfi42","bfi43","bfi44","sexF","ethF","BFIE","BFIA","BFIC","BFIO","BFIN","inc.F","ed.dadF","ed.momF","TRNSF"
7,3,5,2,2,2,6,4,4,6,7,2,6,4,5,6,6,5,3,4,2,6,2,7,3,5,3,4,5,3,3,6,5,5,3,7,3,5,2,5,3,6,2,2,"M","AS",5.375,4.77777777777778,4,3.6,2.25,"100k - 150k","HSD","<HSD","ucb"
4,4,3,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"M","W",3.25,3.22222222222222,2.88888888888889,3.6,3.5,NA,"<CD","MD","ucb"
1,1,6,3,6,7,7,1,3,5,4,1,7,6,6,3,7,4,7,7,7,5,5,5,7,5,7,5,7,7,7,7,5,3,5,2,3,4,6,7,3,2,5,4,"F","L",1.5,4.44444444444444,4,5.3,4.5,"< $15k","<HSD","<HSD",NA
3,5,6,4,3,5,5,2,3,5,4,3,7,5,4,4,5,1,5,3,5,5,3,5,4,5,5,6,5,4,5,5,6,5,5,4,4,6,5,4,3,5,3,3,"F","AS",2.875,3.55555555555556,5.11111111111111,3.4,3.625,"35k - 50k","CD","HSD","ucb"
5,3,5,4,4,5,5,5,4,4,4,6,5,5,4,5,5,2,5,5,5,5,4,5,5,4,3,6,4,3,3,5,5,5,5,5,3,6,4,4,5,5,6,3,"F","AS",3.5,3.77777777777778,3.77777777777778,3.4,3.25,"35k - 50k","HSD","HSD","ucb"
6,5,7,3,6,4,5,5,5,NA,4,6,6,6,7,7,2,4,6,6,2,5,3,4,5,7,6,6,6,6,3,5,7,6,2,6,3,6,3,6,2,6,2,6,"F","AS",4.875,3,4.66666666666667,NA,3.375,"35k - 50k","MD","CD","ucb"
5,5,3,3,4,5,5,5,6,5,4,2,3,4,5,5,5,5,4,5,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,4,3,4,5,3,5,5,5,"M","AS",3.5,3.66666666666667,2.33333333333333,4.3,2.625,"35k - 50k","CD","HSD","ucb"
3,3,3,5,3,5,5,5,5,5,3,2,4,5,3,3,5,3,5,3,5,5,3,5,3,3,5,5,5,5,6,5,3,5,3,3,5,4,5,5,3,5,3,3,"F","AS",2.125,3.77777777777778,3.22222222222222,3.6,3.5,"35k - 50k","CD","CD","ucb"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"M","AS",3.25,3.11111111111111,3.11111111111111,3.6,3.25,"35k - 50k","HSD","HSD","cc"
6,2,5,2,4,2,7,6,4,5,7,1,5,3,3,6,7,4,3,6,2,7,3,6,5,4,1,6,3,6,2,7,5,6,4,7,1,5,3,5,3,7,5,3,"F","AS",5.25,6,3.55555555555556,4.2,2,"75k - 100k","<CD","CD",NA
