CallType,fund,sal,voice2percent,maxfund,minfund,cvfund,meanspect,stdspect,skewspect,kurtosisspect,entropyspect,q1,q2,q3,meantime,stdtime,skewtime,kurtosistime,entropytime,rms,maxamp
DC,799.856227,0.616454,2.702703,978.082853,481.980447,0.217324,3918.797091,1003.037350,-0.648699,4.444272,0.718959,3671.636719,3886.212891,4744.517578,174.687016,26.949307,0.199831,2.128868,0.928722,0.058200,0.068249
DC,937.450893,0.656044,8.536585,1085.289994,630.620246,0.178782,4656.678603,999.006700,-1.168650,4.319039,0.665444,4076.947266,5149.828125,5388.246094,175.603074,27.884285,0.363100,2.464326,0.919899,0.100590,0.127899
DC,781.179129,0.647391,6.410256,1138.692841,316.937659,0.228518,3492.489897,1270.837059,-0.074238,2.663747,0.753631,2694.123047,3433.218750,4649.150391,174.565034,27.189174,0.158443,2.236760,0.923343,0.023422,0.026609
DC,933.553392,0.666784,14.473684,1051.245623,581.738015,0.169434,3653.912167,1312.733502,0.074143,2.104024,0.658026,2694.123047,3170.958984,5149.828125,175.445115,27.360334,0.500702,2.779697,0.898325,0.046950,0.068750
DC,804.667962,0.677185,12.820513,968.780296,458.967667,0.226027,3555.894927,1083.875742,-0.064981,3.691411,0.658948,2884.857422,3314.009766,4768.359375,174.516103,24.881079,0.247566,2.418635,0.908460,0.060325,0.075669
DC,906.929233,0.697592,25.000000,1060.850308,532.468359,0.206564,3310.399850,699.300978,1.745388,13.527285,0.464475,3147.117188,3170.958984,3194.800781,175.244164,24.525097,0.577234,3.054852,0.885490,0.116742,0.195506
DC,796.205504,0.648723,2.702703,963.842477,533.980233,0.214898,3755.920030,1132.127507,-0.607557,3.087038,0.688864,2884.857422,3862.371094,4744.517578,174.532993,26.443846,0.262427,2.261673,0.915008,0.046180,0.055770
DC,913.432930,0.657378,6.410256,1069.645283,546.651994,0.213463,3909.284939,1142.237543,-0.159443,2.717316,0.640006,3194.800781,3981.580078,5173.669922,174.981364,28.639166,0.578058,2.998992,0.893112,0.074241,0.110883
DC,887.180461,0.648820,10.588235,1053.381426,537.051393,0.214732,3999.476203,1179.155536,-0.649643,3.052403,0.709773,3170.958984,4172.314453,5078.302734,175.398260,27.626063,0.235374,2.386481,0.915679,0.061970,0.076971
DC,787.276451,0.733549,3.333333,950.266041,526.008863,0.207843,3229.198712,1197.397014,0.142056,2.339039,0.658629,2551.072266,2861.015625,4577.625000,175.203717,25.043080,0.281206,2.316341,0.924336,0.031887,0.039589
DC,892.855879,0.672639,3.488372,1044.242051,574.606872,0.193556,3328.901903,1286.831752,0.048190,2.728710,0.723163,2789.490234,3123.275391,4172.314453,174.432280,28.808761,0.557020,2.811266,0.910756,0.054604,0.077263
DC,878.713378,0.707763,6.521739,1033.949868,545.267124,0.195342,3224.499474,1293.323221,0.119723,2.651890,0.707694,2670.281250,3075.591797,4124.630859,175.306306,27.710022,0.449959,2.669694,0.907072,0.049182,0.064620
DC,805.894546,0.707682,2.500000,952.726482,514.945131,0.194564,2711.905264,1027.721270,0.347611,3.562075,0.708424,1883.501953,2765.648438,3242.484375,174.607335,26.478778,0.316759,2.450664,0.911230,0.040506,0.052376
DC,913.240489,0.688389,4.705882,1058.447610,558.171703,0.186410,3431.448726,1401.761480,-0.083867,2.256719,0.739431,2121.919922,3194.800781,4601.466797,175.754912,27.188494,0.278326,2.367579,0.916995,0.055469,0.065125
DC,817.140694,0.661384,0.000000,974.610346,560.636975,0.191538,3025.812040,1122.174665,0.836865,4.463752,0.756469,2026.552734,2861.015625,3838.529297,174.507532,26.547348,0.261381,2.235816,0.915102,0.064129,0.076077
DC,914.998517,0.685159,16.867470,1066.496786,566.919256,0.191171,3962.929598,1171.163435,-0.308021,3.853395,0.697063,3194.800781,4219.998047,4315.365234,175.228133,26.986549,0.378118,2.500164,0.904877,0.087934,0.116442
DC,756.833146,0.738930,11.578947,960.467634,428.607168,0.242496,2744.669440,601.622732,0.333178,12.086182,0.579760,2741.806641,2837.173828,2861.015625,174.428370,25.847645,0.328456,2.452203,0.909238,0.064637,0.088543
DC,873.808315,0.733751,11.578947,1047.184324,467.481302,0.218225,3371.915025,890.535744,0.059958,5.328801,0.576128,3099.433594,3147.117188,4148.472656,175.422972,26.552549,0.556340,2.793871,0.898994,0.093534,0.142550
DC,768.608838,0.740452,13.684211,1073.984128,434.391164,0.229181,2808.289194,569.995775,0.025061,11.249279,0.614242,2741.806641,2813.332031,3004.066406,174.527958,26.706202,0.192852,2.437464,0.905080,0.062741,0.087385
DC,868.756285,0.770370,26.000000,1051.138390,523.875148,0.215003,3135.253563,494.078810,0.238456,16.208596,0.454050,3099.433594,3123.275391,3147.117188,175.147813,25.461785,0.658290,2.965098,0.883920,0.123700,0.205953
DC,781.509852,0.714308,1.111111,956.935679,467.920495,0.215242,3031.066301,955.815836,0.465653,5.193743,0.645264,2789.490234,2837.173828,3290.167969,174.419608,26.465096,0.284904,2.403811,0.913508,0.030863,0.042087
DC,881.217329,0.686660,5.813953,1050.086124,522.300478,0.222021,3469.803598,1238.890775,0.178009,3.576119,0.603642,3123.275391,3147.117188,4172.314453,175.375136,26.286976,0.420681,2.726499,0.896099,0.049287,0.075002
DC,792.776374,0.666061,2.469136,1080.210553,312.641811,0.236930,3076.975848,996.917813,0.428712,5.764522,0.715661,2789.490234,2861.015625,3767.003906,174.940490,26.097240,0.139863,2.425479,0.903294,0.029017,0.039286
DC,891.286792,0.691320,0.000000,1054.241968,554.777838,0.207136,3789.371084,1159.944237,-0.651689,3.693496,0.677043,3147.117188,4124.630859,4243.839844,175.532023,26.691865,0.430417,2.576079,0.906746,0.053332,0.073654
DC,836.625464,0.648883,4.411765,970.581316,528.691937,0.206395,3805.955424,1377.517602,-0.840233,2.688443,0.654932,2884.857422,4553.783203,4816.042969,174.883441,25.773734,0.342064,2.343896,0.906840,0.049361,0.066797
DC,933.112280,0.686541,10.843373,1073.866633,592.353610,0.183781,4237.368822,1040.998164,-1.286454,5.568290,0.689016,4148.472656,4267.681641,5006.777344,175.247433,27.318853,0.328317,2.395384,0.907330,0.093415,0.121012
